tipo,geojson,geom
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.368542566331,-34.8188529965747]}",0101000020E6100000B1C91E672C2F4DC08F42CC2CD06841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3678776584389,-34.8183918832595]}",0101000020E61000004FF6779D162F4DC0ADF4B210C16841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3671420561374,-34.8178680844168]}",0101000020E6100000590CCA82FE2E4DC08F81C1E6AF6841C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.380659656898,-34.825415475702]}",0101000020E61000004DA4A474B9304DC054E0DC36A76941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3797531530073,-34.8249095764975]}",0101000020E61000000E5C56C09B304DC0639B12A3966941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3788669486227,-34.8245044859438]}",0101000020E610000057EF50B67E304DC05C44ED5C896941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3780365163522,-34.8240641422993]}",0101000020E61000009736258063304DC0B07D0EEF7A6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3770825301027,-34.8235547377081]}",0101000020E61000008D57873D44304DC00776DC3D6A6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.376177723154,-34.8230592751085]}",0101000020E61000001637759726304DC05EA19E015A6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3753033518863,-34.8226040438507]}",0101000020E61000002237B3F009304DC0B0F2DC164B6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3745535678347,-34.8221811287329]}",0101000020E6100000A4390E5FF12F4DC0E2A5313B3D6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3737440297409,-34.8217359918076]}",0101000020E6100000FB6728D8D62F4DC042611DA52E6941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3729738884903,-34.8213178886444]}",0101000020E6100000F3A9BE9BBD2F4DC07AACCFF1206941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.372118652256,-34.8208589578904]}",0101000020E6100000E7D58095A12F4DC0486205E8116941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3711698050404,-34.8203431207407]}",0101000020E61000009DF4FE7D822F4DC0398ADD00016941C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.3702086004427,-34.8198538777319]}",0101000020E6100000B6CCD3FE622F4DC0BE2DCCF8F06841C0
